tweet_id,hashtag_id,tagged_at
1467834265,1,2009-04-06 22:25:54
1467856821,2,2009-04-06 22:31:48
1467859558,3,2009-04-06 22:32:30
1467859922,4,2009-04-06 22:32:35
1467859922,5,2009-04-06 22:32:35
1467895481,6,2009-04-06 22:42:08
1467905378,7,2009-04-06 22:44:52
1467913111,8,2009-04-06 22:46:57
1467918728,9,2009-04-06 22:48:35
1467998983,3,2009-04-06 23:11:21
1468064945,10,2009-04-06 23:31:30
1468068550,11,2009-04-06 23:32:40
1468075570,12,2009-04-06 23:34:50
1468099958,13,2009-04-06 23:42:46
1468113109,14,2009-04-06 23:47:07
1468113544,3,2009-04-06 23:47:16
1468155619,5,2009-04-07 00:01:12
1468155619,15,2009-04-07 00:01:12
1468156574,16,2009-04-07 00:01:29
1468156574,13,2009-04-07 00:01:29
1468173373,17,2009-04-07 00:06:51
1468192673,18,2009-04-07 00:13:05
1468243138,19,2009-04-07 00:30:16
1468244914,20,2009-04-07 00:30:52
1468252457,21,2009-04-07 00:33:25
1468259216,22,2009-04-07 00:35:43
1468288295,23,2009-04-07 00:45:57
1468293310,24,2009-04-07 00:47:44
1468299018,25,2009-04-07 00:49:46
1468324687,26,2009-04-07 00:59:02
1468360001,27,2009-04-07 01:11:34
1468374080,28,2009-04-07 01:16:40
1468375888,29,2009-04-07 01:17:22
1468381190,30,2009-04-07 01:19:19
1468422938,31,2009-04-07 01:34:34
1468422938,32,2009-04-07 01:34:34
1468426052,33,2009-04-07 01:35:41
1468444158,3,2009-04-07 01:42:25
1468446352,34,2009-04-07 01:43:14
1468449262,35,2009-04-07 01:44:20
1468449262,29,2009-04-07 01:44:20
1468472365,36,2009-04-07 01:52:51
1468484103,37,2009-04-07 01:57:21
1468491766,38,2009-04-07 02:00:11
1468498689,39,2009-04-07 02:02:30
1468506889,40,2009-04-07 02:05:27
1468518616,41,2009-04-07 02:09:46
1468542034,42,2009-04-07 02:18:26
1468542034,43,2009-04-07 02:18:26
1468542883,3,2009-04-07 02:18:45
1468569024,3,2009-04-07 02:28:11
1468588836,44,2009-04-07 02:35:07
1468588836,29,2009-04-07 02:35:07
1468588836,35,2009-04-07 02:35:07
1468590446,13,2009-04-07 02:35:41
1468596929,1,2009-04-07 02:38:02
1468598198,45,2009-04-07 02:38:31
1468627571,46,2009-04-07 02:49:13
1468639063,47,2009-04-07 02:53:24
1468645098,48,2009-04-07 02:55:36
1468645098,49,2009-04-07 02:55:36
1468645098,50,2009-04-07 02:55:36
1468653290,51,2009-04-07 02:58:34
1468659365,52,2009-04-07 03:00:34
1468659707,53,2009-04-07 03:00:40
1468674937,54,2009-04-07 03:05:49
1468677850,55,2009-04-07 03:06:50
1468687825,56,2009-04-07 03:10:22
1468690477,57,2009-04-07 03:11:17
